,player,nation,position,team,formation,team_shots_per_game,team_possession,team_pass,team_aerials_won,league,age,matches,starts,minutes,goals,assists,goals_assists,penalty_goals,yellow_cards,red_cards,expected_goals,expected_assists,progressive_carries,progressive_passes,progressive_runs,goals_90min,assists_90min,goals_assists_90min
0,Max Aarons,eng ENG,Defender,Bournemouth,4-2-3-1,13.0,46.0,79.1,15.6,eng Premier League,23,20,13,1237,0,1,1,0,1,0,0.0,0.8,22.0,43.0,26.0,0.0,0.07,0.07
1,Brenden Aaronson,us USA,Midfielder,Union Berlin,3-5-2,11.7,45.9,76.2,17.6,de Bundesliga,22,30,14,1267,2,2,4,0,3,1,2.0,1.9,37.0,56.0,91.0,0.14,0.14,0.28
2,Paxten Aaronson,us USA,Midfielder,Eintracht Frankfurt,3-4-2-1,13.2,52.4,79.6,17.9,de Bundesliga,19,7,1,101,0,1,1,0,0,0,0.1,0.1,2.0,5.0,7.0,0.0,0.89,0.89
3,Keyliane Abdallah,fr FRA,Forward,Marseille,4-2-3-1,10.0,52.4,82.0,14.9,fr Ligue 1,17,1,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Yunis Abdelhamid,ma MAR,Defender,Reims,4-2-3-1,9.6,46.3,80.7,13.4,fr Ligue 1,35,31,31,2781,4,0,4,1,5,0,3.4,0.3,36.0,137.0,9.0,0.13,0.0,0.13
5,Salis Abdul Samed,gh GHA,Midfielder,Lens,3-4-2-1,11.7,51.1,81.8,17.4,fr Ligue 1,23,27,17,1519,0,0,0,0,2,0,0.8,0.5,9.0,78.0,20.0,0.0,0.0,0.0
6,Nabil Aberdin,fr FRA,Defender,Getafe,5-3-2,9.5,44.4,66.5,22.8,es La Liga,20,2,2,180,0,0,0,0,0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
7,Laurent Abergel,fr FRA,Midfielder,Lorient,4-3-3,11.2,45.9,78.8,13.7,fr Ligue 1,30,33,32,2860,2,1,3,0,4,0,1.1,2.2,38.0,194.0,51.0,0.06,0.03,0.09
8,Matthis Abline,fr FRA,Forward,Nantes,4-2-3-1,10.8,45.2,77.0,18.1,fr Ligue 1,20,22,12,1044,5,0,5,0,1,0,3.8,2.0,28.0,20.0,87.0,0.43,0.0,0.43
9,Abner,br BRA,Defender,Real Betis,4-2-3-1,11.7,52.9,82.0,16.4,es La Liga,23,23,15,1400,0,1,1,0,3,0,0.1,1.0,14.0,33.0,58.0,0.0,0.06,0.06
10,Zakaria Aboukhlal,ma MAR,Midfielder,Toulouse,4-2-3-1,9.1,46.1,79.1,14.6,fr Ligue 1,23,13,9,754,3,0,3,1,2,0,2.8,0.2,23.0,20.0,75.0,0.36,0.0,0.36
11,Abdel Abqar,ma MAR,Defender,Deportivo Alaves,4-4-2,9.1,44.6,72.9,22.6,es La Liga,24,27,27,2312,0,0,0,0,10,0,0.5,0.2,7.0,49.0,1.0,0.0,0.0,0.0
12,Tammy Abraham,eng ENG,Forward,Roma,3-4-2-1,14.3,51.5,84.5,12.1,it Serie A,25,8,2,242,1,0,1,0,1,0,0.6,0.1,6.0,4.0,15.0,0.37,0.0,0.37
13,Francesco Acerbi,it ITA,Defender,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,35,29,26,2388,3,1,4,0,1,0,1.6,1.8,21.0,87.0,24.0,0.11,0.04,0.15
14,Joshua Acheampong,eng ENG,Defender,Chelsea,3-4-3,14.6,58.6,87.0,15.2,eng Premier League,17,1,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Marcos Acuña,ar ARG,Defender,Sevilla,4-3-3,12.1,58.7,86.2,16.6,es La Liga,31,21,18,1292,1,2,3,0,7,0,0.3,1.5,23.0,59.0,42.0,0.07,0.14,0.21
17,Bénie Adama Traore,ci CIV,Forward,Nantes,4-2-3-1,10.8,45.2,77.0,18.1,fr Ligue 1,20,14,4,504,0,1,1,0,1,1,0.7,0.9,23.0,15.0,45.0,0.0,0.18,0.18
18,Akor Adams,ng NGA,Forward,Montpellier,4-3-3,12.2,46.4,78.8,17.9,fr Ligue 1,23,32,27,2252,8,1,9,0,2,0,12.4,1.9,40.0,17.0,127.0,0.32,0.04,0.36
19,Tyler Adams,us USA,Midfielder,Bournemouth,4-2-3-1,13.0,46.0,79.1,15.6,eng Premier League,24,3,1,121,0,0,0,0,0,0,0.0,0.1,4.0,5.0,1.0,0.0,0.0,0.0
20,Junior Adamu,at AUT,Forward,Freiburg,3-4-3,11.4,47.5,78.1,17.5,de Bundesliga,22,15,0,105,0,0,0,0,0,0,0.1,0.1,1.0,1.0,5.0,0.0,0.0,0.0
21,Sargis Adamyan,am ARM,Forward,FC Koln,4-2-3-1,10.6,47.1,77.3,18.5,de Bundesliga,30,20,8,801,1,2,3,0,2,0,4.1,2.0,15.0,18.0,42.0,0.11,0.22,0.34
22,Tosin Adarabioyo,eng ENG,Defender,Fulham,4-2-3-1,11.6,50.0,81.2,17.2,eng Premier League,25,20,18,1617,2,0,2,0,2,0,0.7,0.1,10.0,62.0,5.0,0.11,0.0,0.11
23,Elijah Adebayo,eng ENG,Forward,Luton Town,4-2-3-1,11.4,45.6,78.1,15.6,eng Premier League,25,27,16,1419,10,0,10,0,1,0,5.9,0.7,16.0,23.0,110.0,0.63,0.0,0.63
24,Karim Adeyemi,de GER,Forward,Borussia Dortmund,4-2-3-1,14.6,57.5,85.5,12.8,de Bundesliga,21,21,10,913,3,1,4,0,6,1,3.5,2.0,52.0,26.0,96.0,0.3,0.1,0.39
25,Simon Adingra,ci CIV,Forward,Brighton,3-4-3,12.8,50.7,81.3,14.2,eng Premier League,21,31,25,2222,6,1,7,0,3,0,4.3,3.7,111.0,50.0,278.0,0.24,0.04,0.28
26,Nathaniel Adjei,gh GHA,Defender,Lorient,4-3-3,11.2,45.9,78.8,13.7,fr Ligue 1,20,15,14,1243,0,0,0,0,2,0,0.4,0.1,10.0,34.0,4.0,0.0,0.0,0.0
27,Amine Adli,ma MAR,Midfielder,Bayer Leverkusen,4-2-3-1,13.0,57.3,84.4,13.1,de Bundesliga,23,23,8,898,4,6,10,0,5,0,3.3,2.3,32.0,39.0,131.0,0.4,0.6,1.0
28,Yacine Adli,fr FRA,Midfielder,AC Milan,4-2-3-1,14.7,51.4,84.0,15.2,it Serie A,23,24,17,1407,1,2,3,0,3,0,0.3,2.2,30.0,125.0,26.0,0.06,0.13,0.19
29,Adryelson,br BRA,Defender,Lyon,4-3-3,16.1,53.6,84.7,14.3,fr Ligue 1,25,2,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Adson,br BRA,Midfielder,Nantes,4-2-3-1,10.8,45.2,77.0,18.1,fr Ligue 1,22,8,2,238,0,0,0,0,0,0,0.2,0.1,18.0,15.0,19.0,0.0,0.0,0.0
31,Michel Aebischer,ch SUI,Midfielder,Bologna,4-2-3-1,13.1,50.7,81.5,15.1,it Serie A,26,36,26,2230,0,1,1,0,8,0,1.1,1.5,26.0,125.0,55.0,0.0,0.04,0.04
32,Emmanuel Agbadou,ci CIV,Defender,Reims,4-2-3-1,9.6,46.3,80.7,13.4,fr Ligue 1,26,32,29,2596,1,1,2,0,1,0,2.4,1.5,42.0,179.0,19.0,0.03,0.03,0.07
