name,overall,potential,value_million_euro,position,nationality,age,height,team,formation,league,wage_million_euro,preferred_foot,weak_foot_rating,skill_moves,attacking_work_rate,defensive_work_rate,pace_total,shooting_total,passing_total,dribbling_total,defending_total,physicality_total,finishing,heading_accuracy,dribbling,ball_control,balance,shot_power,strength,long_shots,aggression,positioning,vision,penalties,mentality,goalkeeper_diving,goalkeeper_handling,goalkeeper_kicking,goalkeeper_positioning,goalkeeper_reflexes,passing,speed
Kevin De Bruyne,91,91,107.5,Midfielder,Belgium,31,181,Manchester City,4-3-3,eng Premier League,18.2,1,5,4,2,2,74,88,93,87,64,77,85,55,88,90,78,92,74,91,75,88,94,83,89,0,0,0,0,0,93.0,74.5
Kylian Mbappé,91,95,190.5,Forward,France,23,182,Paris Saint-Germain,4-3-3,fr Ligue 1,20.8,1,4,5,2,0,97,89,80,92,36,76,93,72,93,91,81,88,76,82,64,92,83,80,88,0,0,0,0,0,78.0,97.0
Mohamed Salah,90,90,115.5,Winger,Egypt,30,175,Liverpool,4-3-3,eng Premier League,14.04,0,3,4,2,1,90,89,82,90,45,75,93,59,90,88,91,83,75,85,63,92,85,86,92,0,0,0,0,0,80.5,90.0
Thibaut Courtois,90,91,90.0,Goalkeeper,Belgium,30,199,Real Madrid,4-3-3,es La Liga,13.0,0,3,0,1,1,0,89,75,0,0,89,0,0,0,0,45,56,70,0,0,0,44,0,66,84,89,75,89,90,0.0,0.0
Manuel Neuer,90,90,13.5,Goalkeeper,Germany,36,193,Bayern Munich,4-2-3-1,de Bundesliga,3.744,1,4,0,1,1,0,88,91,0,0,91,0,0,0,0,35,68,80,0,0,0,70,0,70,87,88,91,91,88,0.0,0.0
Virgil van Dijk,90,90,98.0,Defender,Netherlands,30,193,Liverpool,4-3-3,eng Premier League,11.96,1,3,2,1,2,81,60,71,72,91,86,52,87,70,76,53,81,93,64,85,47,65,62,90,0,0,0,0,0,82.5,79.5
Harry Kane,89,89,105.5,Forward,England,28,188,Bayern Munich,4-2-3-1,de Bundesliga,12.48,1,5,3,2,2,68,91,83,82,47,82,93,85,83,84,71,92,83,86,80,94,87,92,92,0,0,0,0,0,84.5,68.0
Heung Min Son,89,89,101.0,Winger,Korea Republic,29,183,Tottenham,3-4-2-1,eng Premier League,12.48,1,5,4,2,1,88,89,82,86,42,69,91,68,87,84,76,88,64,89,62,91,84,73,89,0,0,0,0,0,79.0,87.5
Carlos Henrique Venancio Casimiro,89,89,86.0,Midfielder,Brazil,30,185,Manchester United,4-2-3-1,eng Premier League,12.48,1,3,2,1,2,63,73,75,72,87,90,64,79,67,78,66,88,90,81,91,75,75,66,84,0,0,0,0,0,83.5,63.0
Jan Oblak,89,91,85.5,Goalkeeper,Slovenia,29,188,Atletico Madrid,5-3-2,es La Liga,5.2,1,3,0,1,1,0,90,78,0,0,87,0,0,0,0,49,59,78,0,0,0,65,0,68,86,90,78,87,89,0.0,0.0
Sadio Mané,89,89,99.5,Midfielder,Senegal,30,174,Bayern Munich,4-2-3-1,de Bundesliga,7.54,1,4,4,2,1,90,83,80,88,44,77,86,84,88,86,88,83,72,78,75,90,84,75,84,0,0,0,0,0,77.5,90.5
Ederson Santana de Moraes,89,91,88.0,Goalkeeper,Brazil,28,188,Manchester City,4-3-3,eng Premier League,10.92,0,3,0,1,1,0,82,93,0,0,88,0,0,0,0,48,70,78,0,0,0,70,0,70,87,82,93,88,88,0.0,0.0
Joshua Kimmich,89,90,105.5,Midfielder,Germany,27,177,Bayern Munich,4-2-3-1,de Bundesliga,6.76,1,4,3,2,1,68,72,87,84,83,79,68,72,82,85,84,78,68,83,89,80,85,44,85,0,0,0,0,0,88.5,68.5
Alisson Ramses Becker,89,90,79.0,Goalkeeper,Brazil,29,191,Liverpool,4-3-3,eng Premier League,9.88,1,3,0,1,1,0,85,85,0,0,90,0,0,0,0,37,64,78,0,0,0,66,0,68,86,85,85,90,89,0.0,0.0
N'Golo Kanté,89,89,72.0,Midfielder,France,31,168,Chelsea,3-4-3,eng Premier League,11.44,1,3,2,1,2,72,66,74,81,87,82,65,54,78,81,92,71,72,65,93,72,77,54,84,0,0,0,0,0,79.0,72.5
Rúben Santos Gato Alves Dias,88,91,107.5,Defender,Portugal,25,187,Manchester City,4-3-3,eng Premier League,11.96,1,4,2,1,2,63,39,66,68,88,88,29,87,64,74,56,74,89,26,92,39,51,45,81,0,0,0,0,0,79.0,62.0
Erling Haaland,88,94,148.0,Forward,Norway,21,195,Manchester City,4-3-3,eng Premier League,11.44,0,3,3,2,1,89,91,65,80,49,87,94,79,78,82,72,94,93,87,85,89,74,76,85,0,0,0,0,0,63.5,88.0
Gianluigi Donnarumma,88,92,103.5,Goalkeeper,Italy,23,196,Paris Saint-Germain,4-3-3,fr Ligue 1,5.72,1,3,0,1,1,0,83,79,0,0,85,0,0,0,0,38,59,72,0,0,0,60,0,65,90,83,79,85,89,0.0,0.0
Bernardo Mota Carvalho e Silva,88,88,97.5,Midfielder,Portugal,27,173,Manchester City,4-3-3,eng Premier League,13.52,0,3,4,2,2,77,78,84,92,61,68,79,51,92,91,92,79,54,78,75,83,85,68,90,0,0,0,0,0,83.0,77.5
João Pedro Cavaco Cancelo,88,88,82.5,Full Back,Portugal,28,182,Barcelona,4-3-3,es La Liga,13.0,1,4,4,2,1,85,73,85,85,81,73,69,72,86,87,78,80,62,79,76,81,85,52,86,0,0,0,0,0,83.5,85.0
Marcos Aoás Corrêa,88,90,92.0,Defender,Brazil,28,183,Paris Saint-Germain,4-3-3,fr Ligue 1,8.84,1,3,3,1,2,79,56,75,74,89,80,59,88,69,79,66,65,78,45,81,70,76,52,86,0,0,0,0,0,84.5,79.0
Keylor Navas,88,88,10.0,Goalkeeper,Costa Rica,35,185,Paris Saint-Germain,4-3-3,fr Ligue 1,4.42,1,3,0,1,1,0,84,75,0,0,87,0,0,0,0,61,56,75,0,0,0,68,0,67,89,84,75,87,89,0.0,0.0
Toni Kroos,88,88,72.0,Midfielder,Germany,32,183,Real Madrid,4-3-3,es La Liga,16.12,1,5,3,1,1,53,81,90,81,71,68,77,58,80,88,71,89,72,86,60,76,89,73,88,0,0,0,0,0,93.0,53.5
Luka Modrić,88,88,29.0,Midfielder,Croatia,36,172,Real Madrid,4-3-3,es La Liga,11.96,1,4,4,1,1,73,76,89,88,72,66,72,55,85,90,92,79,58,82,62,78,90,82,92,0,0,0,0,0,91.5,73.0
Antonio Rüdiger,87,88,73.5,Defender,Germany,29,190,Real Madrid,4-3-3,es La Liga,13.0,1,3,2,2,2,82,53,71,67,86,85,40,82,64,72,50,77,90,67,92,49,61,40,78,0,0,0,0,0,79.0,81.5
Rodrigo Hernández Cascante,87,89,88.5,Midfielder,Spain,26,191,Manchester City,4-3-3,eng Premier League,10.4,1,4,3,1,2,58,72,78,79,83,84,64,80,78,85,65,89,84,82,82,75,83,46,85,0,0,0,0,0,84.5,58.0
